MiRA  ;50;13;1;4;6;64;;;;27;Master Guardian Elite  ;  Nuke  ;   2021-02-10 21:45:54  ;  00:00:59  ;  00:07:41  ;  3 : 9 
Twilight Спуркл  ;26;5;0;5;3;40;;;;10;Legendary Eagle        ;  Nuke  ;   2021-02-10 21:45:54  ;  00:00:59  ;  00:07:41  ;  3 : 9 
ムԵՕՊ  ;36;5;1;9;1;60;;;;13;Legendary Eagle        ;  Cobblestone  ;   2021-02-10 21:31:46  ;  00:01:24  ;  00:10:17  ;  3 : 9 
musle  ;32;4;0;9;2;25;;;;8;Legendary Eagle        ;  Cobblestone  ;   2021-02-10 21:31:46  ;  00:01:24  ;  00:10:17  ;  3 : 9 
Ilesis  ;38;14;1;4;6;57;;;;31;Distinguished M-G      ;  Cobblestone  ;   2021-02-10 21:31:46  ;  00:01:24  ;  00:10:17  ;  3 : 9 
Loviflo  ;40;4;5;5;3;100;;;;13;Distinguished M-G      ;  Cobblestone  ;   2021-02-10 21:31:46  ;  00:01:24  ;  00:10:17  ;  3 : 9 
S0w  ;13;7;1;9;1;14;;;;15;Legendary Eagle        ;  Nuke  ;   2021-02-09 21:42:16  ;  00:01:04  ;  00:09:14  ;  1 : 9 
kicikici  ;53;2;2;10;0;0;;;;6;Legendary Eagle        ;  Nuke  ;   2021-02-09 21:42:16  ;  00:01:04  ;  00:09:14  ;  1 : 9 
Ilesis  ;20;12;0;2;3;25;;;;28;Distinguished M-G      ;  Nuke  ;   2021-02-09 21:42:16  ;  00:01:04  ;  00:09:14  ;  1 : 9 
Loviflo  ;11;7;2;7;6;42;;;;16;Distinguished M-G      ;  Nuke  ;   2021-02-09 21:42:16  ;  00:01:04  ;  00:09:14  ;  1 : 9 
S0w  ;43;16;0;8;7;43;;;;32;Distinguished M-G      ;  Nuke  ;   2021-02-09 21:26:40  ;  00:00:55  ;  00:12:11  ;  8 : 8 
kicikici  ;86;3;2;13;1;33;;;;8;Distinguished M-G      ;  Nuke  ;   2021-02-09 21:26:40  ;  00:00:55  ;  00:12:11  ;  8 : 8 
Loviflo  ;17;14;2;9;6;14;;;;30;Legendary Eagle        ;  Nuke  ;   2021-02-09 21:26:40  ;  00:00:55  ;  00:12:11  ;  8 : 8 
Ilesis  ;19;7;1;10;2;14;;;;15;Legendary Eagle        ;  Nuke  ;   2021-02-09 21:26:40  ;  00:00:55  ;  00:12:11  ;  8 : 8 
Loviflo  ;13;15;0;2;7;26;;;;30;Distinguished M-G      ;  Nuke  ;   2021-02-09 21:14:48  ;  00:01:34  ;  00:08:24  ;  9 : 2 
Ilesis  ;24;5;3;3;2;20;;;;13;Distinguished M-G      ;  Nuke  ;   2021-02-09 21:14:48  ;  00:01:34  ;  00:08:24  ;  9 : 2 
I5DM_Rubik  ;46;3;0;10;1;33;;;;6;Master Guardian 2      ;  Nuke  ;   2021-02-09 21:14:48  ;  00:01:34  ;  00:08:24  ;  9 : 2 
DooMi  ;55;2;2;10;1;50;;;;6;Legendary Eagle        ;  Nuke  ;   2021-02-09 21:14:48  ;  00:01:34  ;  00:08:24  ;  9 : 2 
